"OMNH.Item..","Specimen.ID","Taxon","Habitat","Eva_.Sens","eco_type","Element.type","samp_type","d18O","n","SD","SE"
"61573","61573-c","Lepisosteids","aquatic","","Fish","tooth","bulk",9.468175898,1,NA,NA
"60391","60391-a","Allosauroid","terrestrial","ES","Large Theropod","tooth fragment","serial",14.72616354,4,0.327206602691329,0.163603301345665
"60430","60430-b","Ornithischians","terrestrial","ES","Ornithischian","tooth","",19.53171901,1,NA,NA
"61341","61341-a","Ornithischians","terrestrial","ES","Ornithischian","tooth","",17.02903048,1,NA,NA
"61389","61389-a","Ornithischians","terrestrial","ES","Ornithischian","tooth","",14.17646587,1,NA,NA
"80794","80794-a","Ornithischians","terrestrial","","Ornithischian","tooth fragment","bulk",13.795,2,0.0353553390593279,0.0250000000000004
"80795","80795-c","Ornithischians","terrestrial","","Ornithischian","","",13.53,1,NA,NA
"80795","80795-d","Ornithischians","terrestrial","","Ornithischian","","",15.89,2,0.212132034355964,0.149999999999999
"60422","60422-a","Sauropods","terrestrial","","Sauropoda","tooth","",15.99889522,1,NA,NA
"60423","60423-a","Sauropods","terrestrial","","Sauropoda","tooth","",18.99983903,1,NA,NA
"60427","60427-a","Sauropods","terrestrial","ES","Sauropoda","tooth","serial",16.5326545,3,0.287448218898903,0.16595830655936
"60482","60482-a","Sauropods","terrestrial","ES","Sauropoda","tooth","",21.78768467,2,0.972532986950066,0.687684669999999
"60484","60484-a","Sauropods","terrestrial","ES","Sauropoda","tooth","",18.59571597,1,NA,NA
"61220","61220-a","Sauropods","terrestrial","ES","Sauropoda","tooth","",19.1076203,1,NA,NA
"UNCAT001","UNCAT001-a","Sauropods","terrestrial","","Sauropoda","tooth","",15.13298883,1,NA,NA
"80859","80859-a","Hybodonts","aquatic","","Shark","","",10.8,1,NA,NA
"80859","80859-b","Hybodonts","aquatic","","Shark","","",15.27,1,NA,NA
"80859","80859-c","Hybodonts","aquatic","","Shark","","",9.77,1,NA,NA
"60406","60406-a","Maniraptorans","terrestrial","ES","Small Theropod","tooth","",14.22288194,1,NA,NA
"60406","60406-b","Maniraptorans","terrestrial","ES","Small Theropod","tooth","",17.55405804,1,NA,NA
"60406","60406-c","Maniraptorans","terrestrial","ES","Small Theropod","tooth","",13.71248653,1,NA,NA
"60406","60406-e","Maniraptorans","terrestrial","ES","Small Theropod","tooth","",23.22319825,1,NA,NA
"61348","61348-a","Maniraptorans","terrestrial","","Small Theropod","tooth","",13.65553388,1,NA,NA
"61351","61351-a","Maniraptorans","terrestrial","ES","Small Theropod","tooth","",12.72700545,1,NA,NA
"61352","61352-a","Maniraptorans","terrestrial","ES","Small Theropod","tooth","",17.16617443,1,NA,NA
"61355","61355-a","Maniraptorans","terrestrial","","Small Theropod","tooth","",14.30604066,1,NA,NA
"61357","61357-a","Maniraptorans","terrestrial","ES","Small Theropod","tooth","serial",13.8523666,1,NA,NA
"61361","61361-a","Maniraptorans","terrestrial","","Small Theropod","tooth","",17.44573973,1,NA,NA
"60379","60379-a","Naomichelys sp.","terrestrial","ES","Terrestrial Turtle","osteoscute fragment","",13.29354208,1,NA,NA
"60379","60379-b","Naomichelys sp.","terrestrial","ES","Terrestrial Turtle","osteoscute fragment","",13.77083135,1,NA,NA
"60379","60379-c","Naomichelys sp.","terrestrial","ES","Terrestrial Turtle","osteoscute fragment","",14.06762098,1,NA,NA
"60379","60379-d","Naomichelys sp.","terrestrial","ES","Terrestrial Turtle","osteoscute fragment","",15.02865964,1,NA,NA
"60379","60379-e","Naomichelys sp.","terrestrial","ES","Terrestrial Turtle","osteoscute fragment","",14.1069935,1,NA,NA
"60379","60379-h","Naomichelys sp.","terrestrial","ES","Terrestrial Turtle","osteoscute fragment","",14.30036154,1,NA,NA
"60379","60379-i","Naomichelys sp.","terrestrial","ES","Terrestrial Turtle","osteoscute fragment","",14.15635209,1,NA,NA
"60379","60379-j","Naomichelys sp.","terrestrial","ES","Terrestrial Turtle","osteoscute fragment","",14.81588951,1,NA,NA
"60379","60379-m","Naomichelys sp.","terrestrial","ES","Terrestrial Turtle","osteoscute fragment","",14.93893865,1,NA,NA
"60379","60379-r","Naomichelys sp.","terrestrial","ES","Terrestrial Turtle","osteoscute fragment","",14.91338284,1,NA,NA
