"Taxon","Mean_d18Osw","d18Osw_95CI_Lower","d18Osw_95CI_Upper"
"Neosuchian G",-7.53052277345929,-11.1828798143474,-3.57193609069927
"Neosuchian A",-5.00666527822018,-8.77292271987166,-0.942209599841576
"Neosuchian B",-5.42902261333724,-9.12698722975673,-1.47047244011395
"Glyptops sp.",-8.30492340666264,-10.527386704746,-5.95217943592165
"Naomichelys sp.",-7.74192333001364,-9.69380461212491,-5.66665449788818
