"group","Mean_d18Op","CI95_Lower","CI95_Upper"
"Neosuchian G",14.049230915445,12.5030039874625,15.5601325718708
"Neosuchian A",17.1130648210555,16.0414150969318,18.6008435789318
"Neosuchian B",16.6003446195164,15.4832479404773,17.6225589431818
NA,15.2883939913828,10.1133333333333,22.677
